id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
1,3.804994474866736e-85,0.0,0.999962558074063,4.4616824750159503e-44,2.4364716137137314e-17,3.5629866489829015e-12,4.942634020051928e-28,3.744192204086114e-05,3.3327136190999236e-13
2,9.029500614843771e-103,0.0,5.528313098778937e-06,3.7632313781056646e-28,3.816038191316373e-12,0.01575745560796181,1.2160297948353731e-23,0.9842168851118692,2.0130963253943164e-05
3,2.5905152277815506e-134,0.0,2.1177756427773075e-06,1.3982306516251337e-50,1.042526646787303e-13,0.11817958019493839,5.466779593037572e-39,0.8818182692246103,3.28047043016242e-08
4,5.2213306656275395e-24,1.2120424335402004e-220,0.08342621372984431,2.4804796388612788e-08,0.03447818848594305,0.07743938838505136,5.848825576284567e-05,0.7670558652416076,0.03754183109699443
5,3.038339596166771e-114,0.0,2.1020091436668875e-14,2.7322507492163366e-54,3.649877002831936e-12,1.4924277252407202e-09,1.443424310627852e-40,0.9999999985039008,4.73075050896379e-16
6,1.8457790832518246e-86,0.0,7.277877861530297e-07,8.786066663829697e-35,0.07198094373315429,4.3014082529891678e-16,2.26660914359948e-21,0.01050207272918913,0.9175162557498701
7,2.9650750640684e-135,0.0,4.860034779255633e-06,4.747480818832458e-47,2.607923730740021e-08,1.5489719823420273e-14,1.0603549021409471e-42,0.999995112995506,8.904620978588492e-10
8,2.2634377970610569e-274,0.0,1.0318806200967592e-24,2.509380594657542e-120,2.3421128174618672e-19,2.300134579312652e-17,2.2505837963433532e-89,1.0,1.9661913948580523e-30
9,5.2208538000800645e-106,0.0,0.9932667349855621,1.6364670282679614e-43,3.3697618608669156e-11,1.4225967677614686e-05,9.482643504419412e-32,0.0067190332648786755,5.748184141954727e-09
10,1.2604256426134623e-57,0.0,2.4968497258523595e-05,8.58457963730388e-26,0.0022801293151903466,0.04896196543203141,4.626123984734294e-20,0.948618262936424,0.00011467381909587222
11,2.334273115145933e-59,0.0,1.2358481362208624e-07,1.8002494172541402e-25,1.8408292709689965e-08,0.09247530430517698,7.677921775451139e-16,0.9075245439673666,9.734349437855544e-09
12,4.434475902613245e-60,0.0,5.082478313561118e-15,4.428261472628632e-26,2.168403637571942e-17,0.004063129997022673,2.765254331535555e-15,0.9959368693885925,6.14376832549202e-10
13,1.842922816811926e-87,0.0,2.513787192359072e-13,6.384239610947912e-41,2.3104503745713723e-05,4.389428040281004e-13,1.456772997533315e-23,0.3462170014161317,0.6537598940794322
14,1.1932625614024955e-207,0.0,1.1426693154378422e-20,2.0408076489987554e-76,3.3912055490155626e-20,0.002340036953019388,1.393410968591157e-53,0.997659962934797,1.1218358377515324e-10
15,6.694031137877504e-51,0.0,1.1571589258391584e-17,1.7371560482614679e-19,0.0006436247720905037,1.812970443078981e-10,6.403327268670816e-17,0.9898807646921594,0.009475610354452995
16,8.773081363493387e-137,0.0,1.624369899648513e-17,3.3661571832361448e-65,1.418560856621808e-26,6.1621937148712936e-15,2.567629944087496e-34,0.9999999999999938,2.717211751403537e-18
17,1.4391996532951848e-102,0.0,4.238686652628118e-10,1.9805326664130337e-40,7.316206411955243e-11,0.7806865268531209,1.8527914210131848e-35,0.21931347264983608,1.2351080721129696e-14
18,3.6620392968022856e-54,0.0,0.9631645527578011,2.085950159268375e-18,0.00534022841469772,0.0258273157863942,2.0493484795079397e-16,0.005341033457951128,0.0003268695831555762
19,1.9419889978443808e-53,0.0,0.00013382286641666646,1.3209446488148443e-18,0.008821499790743235,0.19295442761808246,9.602812845652001e-13,0.7976876333155019,0.000402616408295436
20,1.994379239617027e-152,0.0,1.2316110146561645e-21,9.679608678842136e-80,3.848879563602061e-19,2.8003253723705753e-10,6.505550877869719e-61,0.9999999997199676,2.5622224357565464e-19
21,3.163786706949382e-194,0.0,8.91182276036987e-13,2.6533331946973257e-77,3.071998392316816e-23,0.0014538040049915783,1.802228945190383e-54,0.9985461959941173,5.6910484386159735e-19
22,9.286296420459433e-118,0.0,1.8370665866302698e-19,4.0466597916697e-48,4.728470736585552e-15,0.9643307324417633,3.3896856851451435e-34,0.035669267557480684,7.513156031729285e-13
23,1.0526512026054282e-168,0.0,4.58327546135686e-22,1.0367179013396833e-75,1.1310042446696358e-07,2.899070323709782e-24,5.4774572742181894e-43,0.7643017480606793,0.2356981388388962
24,0.0,0.0,6.015830951750204e-51,2.6941279633420556e-198,3.3312433142916712e-68,0.7800011597532599,1.1162092448155532e-144,0.2199988402467401,3.666735056302809e-55
25,3.1464016555896585e-86,0.0,1.2974247762478542e-11,5.042033763389565e-35,1.4778422553105015e-13,0.00030856038706148425,1.4948633627131785e-27,0.9996912634986318,1.7610118471375393e-07
26,3.61313834772912e-150,0.0,0.0006955066495765106,5.0953205339279886e-54,8.803247932462455e-05,1.1052669447641244e-20,6.921820525179256e-49,0.9992164607753885,9.57103135181049e-11
27,2.466743193460528e-66,0.0,1.763551054850384e-06,2.2677721310521725e-23,1.384964535006679e-08,0.8904126044150705,3.1891157634292e-16,0.10958544630866299,1.718755660340603e-07
28,7.833403998381269e-17,3.1503791032407387e-161,0.0001049809177491889,4.812434209375929e-09,0.0010942863625428146,0.8728811580117847,7.564206948401947e-07,0.12323638962465697,0.0026824238501373175
